QUE	794144	-4.895509708743877
ENT	767324	-4.929865332532316
DEL	684390	-5.044246381238414
ION	661787	-5.077830510008584
EST	605100	-5.167380386719117
CIO	602986	-5.170880135342945
CON	577633	-5.213835322853318
NTE	548883	-5.264888647041938
SDE	543845	-5.274109654421819
ADE	542150	-5.277231212540962
ELA	519684	-5.319552914173037
ODE	482264	-5.394282017464249
ADO	471912	-5.415981126403166
RES	438559	-5.489279140410954
STA	438360	-5.489733001142801
ARA	414144	-5.546559618914474
LOS	413864	-5.5472359392745485
ACI	399422	-5.582754767262177
ENE	383567	-5.623258853665212
PAR	380711	-5.630732589191165
IEN	379761	-5.633231032252139
DES	363933	-5.675803240450227
LAS	349884	-5.71517124390196
ESE	329081	-5.7764688131336355
POR	324674	-5.789951090969275
TRA	321945	-5.798391943347904
ONE	312356	-5.828629008519804
NES	302374	-5.861107804035238
CIA	300008	-5.868963298759219
NDE	292984	-5.8926543597980965
DAD	291653	-5.897207604790401
ERA	286931	-5.913530519076964
EDE	285231	-5.919472888755924
COM	283370	-5.926018779808602
IDA	278851	-5.942094597840723
ALA	273481	-5.961539966797535
UNA	270033	-5.974227895969133
ANT	268663	-5.979314244734482
MEN	264725	-5.994080444151088
NTO	261952	-6.004610674609497
NCI	259637	-6.013487419803178
ONA	254976	-6.031602427953345
SEN	254694	-6.032709022111066
ENC	253982	-6.035508437320606
ESD	251135	-6.0467811479026405
ICA	249470	-6.053433096994302
PER	245388	-6.069931066469154
ASE	243239	-6.07872716271352
ARE	242513	-6.081716332295554
LES	239205	-6.095450667591501
DOS	237313	-6.103391614213821
OSE	230311	-6.133340861547495
RAN	226136	-6.15163476266466
PRE	223619	-6.1628275902462075
ESP	222998	-6.1656084858202975
PRO	222197	-6.169206896700498
UES	220873	-6.175183369783469
ACO	220832	-6.175369013208263
ADA	220619	-6.1763340084241936
OND	219729	-6.180376253056254
ICI	216104	-6.1970113722838835
ALE	215430	-6.200135100306834
NTA	212956	-6.21168550557037
NOS	211017	-6.220832335071016
NLA	209412	-6.228467394316563
OQU	208981	-6.230527649111451
NDO	208283	-6.233873239938684
AND	207155	-6.239303640343017
